Date,Time,Open,High,Low,Close,Vol
05/16/2019,23:00,45.9,46.2,45.3,45.67,37416365
05/17/2019,23:00,44.39,44.45,41.78,42.21,88933330
05/20/2019,23:00,40.56,41.2,39.05,41.07,102630975
05/21/2019,23:00,39.55,41.48,39.21,41.02,90019495
05/22/2019,23:00,39.82,40.79,38.36,38.55,93425935
05/23/2019,23:00,38.87,39.89,37.24,39.1,132735710
05/24/2019,23:00,39.97,40,37.75,38.13,70682860
05/28/2019,23:00,38.24,39,37.57,37.74,51564505
05/29/2019,23:00,37.42,38.48,37.01,37.97,59843190
05/30/2019,23:00,37.75,38.45,37.4,37.64,39632375
05/31/2019,23:00,37.02,37.98,36.82,37.03,52033660
06/03/2019,23:00,37.1,37.34,35.4,35.79,65322050
06/04/2019,23:00,36.22,38.8,35.92,38.72,69037610
06/05/2019,23:00,39.74,40.26,38.37,39.32,67553780
06/06/2019,23:00,40.89,42.2,40.36,41.19,101210755
06/07/2019,23:00,41.06,42.17,40.7,40.9,80017635
06/10/2019,23:00,42.05,43.39,41.8,42.58,52925195
06/11/2019,23:00,43.83,44.18,42.7,43.42,58267685
06/12/2019,23:00,44.59,44.68,41.8,41.85,75987720
06/13/2019,23:00,42.08,42.98,41.5,42.78,40841300
06/14/2019,23:00,42.25,43.33,42.08,42.98,37167010
06/17/2019,23:00,42.95,45.4,42.85,45.01,61584015
06/18/2019,23:00,45.74,46.95,44.51,44.95,63578940
06/19/2019,23:00,45.02,45.55,44.21,45.29,32875675
06/20/2019,23:00,44.6,45.38,43.27,43.92,59317310
06/21/2019,23:00,43.24,44.44,43.1,44.37,41010390
06/24/2019,23:00,44.65,45.17,44.2,44.73,28753855
06/25/2019,23:00,44.88,45.07,43.9,43.95,30910355
06/26/2019,23:00,44.06,45.45,43.62,43.85,42536040
06/27/2019,23:00,43.89,44.58,43.47,44.57,31698550
06/28/2019,23:00,44.2,45.03,44.16,44.69,34256920
07/01/2019,23:00,46.04,46.62,45.26,45.43,41189820
07/02/2019,23:00,45.78,45.83,44.44,44.91,46295135
07/03/2019,23:00,47.88,48.31,46.9,46.98,71005740
07/05/2019,23:00,46.91,47.09,46.16,46.62,35328690
07/08/2019,23:00,46.25,46.45,45.73,46.07,29402710
07/09/2019,23:00,45.79,46.2,45.46,46.01,30954175
07/10/2019,23:00,46.83,47.79,46.63,47.78,45728680
07/11/2019,23:00,47.63,48.3,47.16,47.72,37572150
07/12/2019,23:00,47.95,49.08,47.94,49.02,46002605
07/15/2019,23:00,49.6,50.88,48.97,50.7,55000460
07/16/2019,23:00,49.86,50.71,49.59,50.48,40744945
07/17/2019,23:00,51.13,51.66,50.67,50.97,48823635
07/18/2019,23:00,51.01,51.15,50.38,50.71,23822415
07/19/2019,23:00,51.14,51.99,50.92,51.64,35242050
07/22/2019,23:00,51.75,52.43,50.84,51.14,34231365
07/23/2019,23:00,51.34,52.1,50.9,52.03,25115605
07/24/2019,23:00,51.83,53.21,51.63,52.98,55364175
07/25/2019,23:00,46.6,46.9,45.11,45.76,112091260
07/26/2019,23:00,45.38,46.05,44.45,45.61,50138485
07/29/2019,23:00,45.42,47.19,45.21,47.15,46366655
07/30/2019,23:00,46.58,48.67,46.44,48.45,40545070
07/31/2019,23:00,48.6,49.34,47.33,48.32,45891040
08/01/2019,23:00,48.53,48.9,46.35,46.77,41297580
08/02/2019,23:00,46.26,47.25,45.85,46.87,30682405
08/05/2019,23:00,45.92,46.27,45.16,45.66,35141395
08/06/2019,23:00,46.38,46.5,45.15,46.15,27821000
08/07/2019,23:00,45.3,46.71,45.16,46.68,23882500
08/08/2019,23:00,46.89,47.96,46.53,47.66,26371745
08/09/2019,23:00,47.21,47.79,46.76,47,19491220
08/12/2019,23:00,46.6,47.15,45.75,45.8,23319685
08/13/2019,23:00,45.76,47.2,45.51,47,24344990
08/14/2019,23:00,46.24,46.3,43.34,43.92,47812955
08/15/2019,23:00,44.17,44.31,42.31,43.13,41159760
08/16/2019,23:00,43.33,44.45,43.2,43.99,26036880
08/19/2019,23:00,44.84,45.57,44.34,45.37,26558740
08/20/2019,23:00,45.52,45.82,44.91,45.17,20852635
08/21/2019,23:00,44.4,44.64,43.52,44.17,38998720
08/22/2019,23:00,44.56,45.08,43.64,44.43,32824820
08/23/2019,23:00,43.99,44.23,42.2,42.28,42798520
08/26/2019,23:00,42.72,43,42.31,43,25272070
08/27/2019,23:00,43.15,43.76,42.41,42.82,27103635
08/28/2019,23:00,42.74,43.45,42.46,43.12,16193125
08/29/2019,23:00,43.8,44.68,43.6,44.34,25915520
08/30/2019,23:00,45.83,46.49,44.84,45.12,46638875
09/03/2019,23:00,44.82,45.79,44.63,45,26802730
09/04/2019,23:00,45.38,45.69,43.84,44.14,28843480
09/05/2019,23:00,44.5,45.96,44.17,45.92,37016610
09/06/2019,23:00,45.44,45.93,45.03,45.49,20946860
09/09/2019,23:00,46,46.75,45.85,46.36,24013345
09/10/2019,23:00,46.16,47.11,45.79,47.11,24418570
09/11/2019,23:00,47.48,49.63,47.2,49.42,50213885
09/12/2019,23:00,49.54,50.7,48.88,49.17,42906050
09/13/2019,23:00,49.39,49.69,48.97,49.04,26565725
09/16/2019,23:00,49.2,49.49,48.23,48.56,23640480
09/17/2019,23:00,48.49,49.12,48.07,48.96,19734545
09/18/2019,23:00,49,49.63,48.47,48.7,21140515
09/19/2019,23:00,49.2,49.59,48.97,49.32,24415675
09/20/2019,23:00,49.3,49.39,47.63,48.12,32531320
09/23/2019,23:00,48.06,49.04,47.84,48.25,21958150
09/24/2019,23:00,48.3,48.4,44.52,44.64,64705560
09/25/2019,23:00,44.91,45.8,43.67,45.74,47221430
09/26/2019,23:00,46.13,48.66,45.48,48.51,60393925
09/27/2019,23:00,48.44,49.74,47.75,48.43,55615895
09/30/2019,23:00,48.6,48.8,47.22,48.17,29730805
10/01/2019,23:00,48.3,49.19,47.83,48.94,30981450
10/02/2019,23:00,48.66,48.93,47.89,48.63,31282740
10/03/2019,23:00,46.37,46.9,44.86,46.61,75688815
10/04/2019,23:00,46.32,46.96,45.61,46.29,40105900
10/07/2019,23:00,45.96,47.71,45.71,47.54,40434785
10/08/2019,23:00,47.17,48.79,46.9,48.01,43511690
10/09/2019,23:00,48.26,49.46,48.13,48.91,34675165
10/10/2019,23:00,49.06,49.86,48.32,48.95,31567085
10/11/2019,23:00,49.43,50.22,49.36,49.58,42440795
10/14/2019,23:00,49.58,51.71,49.43,51.39,51134315
10/15/2019,23:00,51.54,52,50.82,51.58,32397280
10/16/2019,23:00,51.48,52.42,51.38,51.95,33521515
10/17/2019,23:00,52.5,52.96,52.03,52.39,23895215
10/18/2019,23:00,52.14,52.56,51.02,51.39,28768330
10/21/2019,23:00,51.67,51.9,50.04,50.7,25540505
10/22/2019,23:00,50.86,51.67,50.17,51.12,23125475
10/23/2019,23:00,50.9,51.23,50.27,50.94,56080910
10/24/2019,23:00,59.67,60.99,57.84,59.94,149096155
10/25/2019,23:00,59.54,66,59.22,65.63,150030455
10/28/2019,23:00,65.51,68.17,64.52,65.54,94351430
10/29/2019,23:00,64,64.86,62.95,63.24,63421335
10/30/2019,23:00,62.6,63.76,61.99,63,48209050
10/31/2019,23:00,62.62,63.8,62.6,62.98,25334780
11/01/2019,23:00,63.26,63.3,61.96,62.66,31919645
11/04/2019,23:00,62.96,64.39,61.85,63.49,43935200
11/05/2019,23:00,63.92,64.7,63.22,63.44,34717085
11/06/2019,23:00,63.6,65.34,62.9,65.32,39704660
11/07/2019,23:00,65.83,68.3,65.6,67.11,72336740
11/08/2019,23:00,66.9,67.49,66.5,67.43,30371105
11/11/2019,23:00,68.79,69.84,68.4,69.02,49968445
11/12/2019,23:00,69.38,70.07,68.81,69.99,36796915
11/13/2019,23:00,71,71.27,69.04,69.22,42339315
11/14/2019,23:00,69.22,70.77,68.58,69.87,32358515
11/15/2019,23:00,70.13,70.56,69.67,70.43,24062815
11/18/2019,23:00,70.58,70.63,69.22,70,22042525
11/19/2019,23:00,70.35,72,69.56,71.9,38680390
11/20/2019,23:00,72,72.24,69.91,70.44,33669825
11/21/2019,23:00,70.9,72.17,70.8,70.97,30550065
11/22/2019,23:00,68.03,68.2,66,66.61,84353210
11/25/2019,23:00,68.86,68.91,66.89,67.27,61728825
11/26/2019,23:00,67.05,67.1,65.42,65.78,39781195
11/27/2019,23:00,66.22,66.79,65.71,66.26,27817295
11/29/2019,23:00,66.22,66.25,65.5,65.99,12328145
12/02/2019,23:00,65.88,67.28,65.74,66.97,30409930
12/03/2019,23:00,66.52,67.58,66.44,67.24,33067380
12/04/2019,23:00,67.55,67.57,66.57,66.61,27681275
12/05/2019,23:00,66.57,66.88,65.45,66.07,18684880
12/06/2019,23:00,67,67.77,66.95,67.18,38094685
12/09/2019,23:00,67.32,68.89,67.02,67.91,45201085
12/10/2019,23:00,67.99,70.15,67.86,69.77,44199755
12/11/2019,23:00,70.38,71.44,70.22,70.54,34595810
12/12/2019,23:00,70.98,72.55,70.65,71.94,38881055
12/13/2019,23:00,72.21,73.04,70.93,71.68,32871405
12/16/2019,23:00,72.51,76.72,72.5,76.3,91104700
12/17/2019,23:00,75.8,77.1,75.18,75.8,42518875
12/18/2019,23:00,76.13,79.04,76.12,78.63,70681960
12/19/2019,23:00,79.46,81.37,79.3,80.81,90601535
12/20/2019,23:00,82.06,82.6,80.04,81.12,73926030
12/23/2019,23:00,82.36,84.4,82,83.84,66664105
12/24/2019,23:00,83.67,85.09,82.54,85.05,40273600
12/26/2019,23:00,85.58,86.7,85.27,86.19,53241445
12/27/2019,23:00,87,87.06,85.22,86.08,49784135
12/30/2019,23:00,85.76,85.8,81.85,82.94,63006325
12/31/2019,23:00,81,84.26,80.42,83.67,52960110
01/02/2020,23:00,84.9,86.14,84.34,86.05,47791930
01/03/2020,23:00,88.1,90.8,87.38,88.6,88973485
01/06/2020,23:00,88.09,90.31,88,90.31,50787495
01/07/2020,23:00,92.28,94.33,90.67,93.81,91045690
01/08/2020,23:00,94.74,99.7,93.65,98.43,155996965
01/09/2020,23:00,99.42,99.76,94.57,96.27,142315930
01/10/2020,23:00,96.36,96.99,94.74,95.63,64884160
01/13/2020,23:00,98.7,105.13,98.4,104.97,133172735
01/14/2020,23:00,108.85,109.48,104.98,107.58,145306885
01/15/2020,23:00,105.95,107.57,103.36,103.7,86844155
01/16/2020,23:00,98.75,102.89,98.43,102.7,108683265
01/17/2020,23:00,101.52,103.13,100.63,102.1,68145365
01/21/2020,23:00,106.05,109.72,105.68,109.44,89017355
01/22/2020,23:00,114.38,118.9,111.82,113.91,156845140
01/23/2020,23:00,112.85,116.4,111.12,114.44,98255210
01/24/2020,23:00,114.13,114.77,110.85,112.96,71768000
01/27/2020,23:00,108.4,112.89,107.86,111.6,68040340
01/28/2020,23:00,113.7,115.36,111.62,113.38,58942465
01/29/2020,23:00,115.14,117.96,113.49,116.2,91083360
01/30/2020,23:00,126.48,130.18,123.6,128.16,145028380
01/31/2020,23:00,128,130.6,126.5,130.11,78596330
02/03/2020,23:00,134.74,157.23,134.7,156,236167475
02/04/2020,23:00,176.59,193.8,166.78,177.41,304693790
02/05/2020,23:00,164.65,169.2,140.82,146.94,242119185
02/06/2020,23:00,139.98,159.17,137.4,149.79,199403760
02/07/2020,23:00,146.11,153.95,146,149.61,85317605
02/10/2020,23:00,160,164,150.48,154.26,123445815
02/11/2020,23:00,153.76,156.7,151.6,154.88,58487365
02/12/2020,23:00,155.57,157.95,152.67,153.46,60112350
02/13/2020,23:00,148.37,163.6,147,160.8,131446740
02/14/2020,23:00,157.44,162.59,157.1,160.01,78468555
02/18/2020,23:00,168.32,172,166.47,171.68,83491845
02/19/2020,23:00,184.7,188.96,180.2,183.48,127114790
02/20/2020,23:00,182.39,182.4,171.99,179.88,88174465
02/21/2020,23:00,181.4,182.61,176.09,180.2,71697230
02/24/2020,23:00,167.8,172.7,164.44,166.76,75960815
02/25/2020,23:00,169.8,171.32,157.4,159.98,86452405
02/26/2020,23:00,156.5,162.66,155.22,155.76,70769215
02/27/2020,23:00,146,147.95,133.8,135.8,121385800
02/28/2020,23:00,125.74,138.1,122.3,133.6,122820855
03/02/2020,23:00,142.25,148.74,137.33,148.72,100974955
03/03/2020,23:00,161,161.4,143.22,149.1,128920015
03/04/2020,23:00,152.79,153.3,144.95,149.9,75244885
03/05/2020,23:00,144.75,149.15,143.61,144.91,54263285
03/06/2020,23:00,138,141.4,136.85,140.7,63314590
03/09/2020,23:00,121.08,132.6,121,121.6,85368700
03/10/2020,23:00,131.89,133.6,121.6,129.07,77972215
03/11/2020,23:00,128,130.72,122.6,126.85,67067935
03/12/2020,23:00,116.18,118.9,109.25,112.11,94545260
03/13/2020,23:00,119,121.51,100.4,109.32,113201270
03/16/2020,23:00,93.9,98.97,88.43,89.01,102447320
03/17/2020,23:00,88,94.37,79.2,86.04,119972900
03/18/2020,23:00,77.8,80.97,70.1,72.24,118930810
03/19/2020,23:00,74.94,90.4,71.69,85.53,150977300
03/20/2020,23:00,87.64,95.4,85.16,85.51,141427510
03/23/2020,23:00,86.72,88.4,82.1,86.86,82272745
03/24/2020,23:00,95.46,102.74,94.8,101,114475850
03/25/2020,23:00,109.05,111.4,102.22,107.85,106113725
03/26/2020,23:00,109.48,112,102.45,105.63,87110410
03/27/2020,23:00,101,105.16,98.81,102.87,71887040
03/30/2020,23:00,102.39,103.33,98.25,100.43,59990335
03/31/2020,23:00,100.25,108.59,99.4,104.8,88857425
04/01/2020,23:00,100.8,102.79,95.02,96.31,66765900
04/02/2020,23:00,96.21,98.85,89.28,90.89,99292135
04/03/2020,23:00,101.9,103.1,93.68,96,112810380
04/06/2020,23:00,102.24,104.2,99.59,103.25,74509180
04/07/2020,23:00,109,113,106.47,109.09,89598920
04/08/2020,23:00,110.84,111.44,106.67,109.77,63280120
04/09/2020,23:00,112.42,115.04,111.42,114.6,68250000
04/13/2020,23:00,118.03,130.4,116.11,130.19,112377105
04/14/2020,23:00,139.79,148.38,138.49,141.98,152882555
04/15/2020,23:00,148.4,150.63,142,145.97,117885005
04/16/2020,23:00,143.39,151.89,141.34,149.04,103289310
04/17/2020,23:00,154.46,154.99,149.53,150.78,65641185
04/20/2020,23:00,146.54,153.11,142.44,149.27,73732885
04/21/2020,23:00,146.02,150.67,134.76,137.34,101045465
04/22/2020,23:00,140.8,146.8,137.74,146.42,71124155
04/23/2020,23:00,145.52,146.8,140.63,141.13,66183485
04/24/2020,23:00,142.16,146.15,139.64,145.03,66188060
04/27/2020,23:00,147.52,159.9,147,159.75,103407210
04/28/2020,23:00,159.13,161,151.34,153.82,76109820
04/29/2020,23:00,158.03,160.64,156.63,160.1,81079910
04/30/2020,23:00,171.04,173.96,152.7,156.38,142359270
05/01/2020,23:00,151,154.55,136.61,140.26,162659035
05/04/2020,23:00,140.2,152.4,139.6,152.24,96185450
05/05/2020,23:00,157.96,159.78,152.44,153.64,84958280
05/06/2020,23:00,155.3,157.96,152.22,156.52,55616155
05/07/2020,23:00,155.44,159.28,154.47,156.01,57638430
05/08/2020,23:00,158.75,164.8,157.4,163.88,80650435
05/11/2020,23:00,158.1,164.8,157,162.26,82598005
05/12/2020,23:00,165.4,168.66,161.6,161.88,79534525
05/13/2020,23:00,164.17,165.2,152.66,158.19,95327455
05/14/2020,23:00,156,160.67,152.8,160.67,68410940
